,name,mean,std
0,calculate-autoconsumption,0.32903022875816995,0.3499932902003118
1,change-iban,0.281075,0.3027388133400871
2,change-payment-method,0.3310526315789474,0.11578354982188414
3,consents-acceptance,0.45,0.12381841543163115
4,create-agreement,0.7404285714285714,0.6066165318590804
5,create-auth-user,0.8333684210526315,0.13418279841996464
6,create-member,1253.9043492063493,4254.838918471314
7,generate-consumptions-per-hour,0.0,0.0
8,send-email-to-member,1.1472115384615384,1.3255794195412482
9,send-email-to-operator,0.8829065420560748,0.6420073698029688
10,store-member-documents,0.8416499999999999,0.5197616095569495
11,update-auth-user,0.6564399999999999,0.22981992010196958
12,update-member,0.52509375,0.3835051932160556
